Country Name,Country Code_x,MPA,Share of global plastics emitted to ocean,Year: ,Indicator code:,Unnamed: 6,Indicator name:,Country Code_y,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,Data Source,World Development Indicators
North America,NAC,21.931,4.499120942,,,,,NAC,Total fisheries production (metric tons),ER.FSH.PROD.MT,6376961.47,6511323.16,6313483.04,6361214.51,5652657.58,5713894.29,5612299.77,,,
Namibia,NAM,1.714,0.000204195,,,,,NAM,Total fisheries production (metric tons),ER.FSH.PROD.MT,516182.3,501928.91,490536.69,467429.12,329990.85,411170.46,416008.9,,,
Nigeria,NGA,0.017,1.903093343,,,,,NGA,Total fisheries production (metric tons),ER.FSH.PROD.MT,1041498.0,1212474.97,1169478.0,1114556.25,1044812.42,1080855.0,1043230.0,,,
Nicaragua,NIC,2.974,0.149572519,,,,,NIC,Total fisheries production (metric tons),ER.FSH.PROD.MT,66204.99,75881.0,84027.39,80833.29,72955.54,86280.44,85300.82,,,
Netherlands,NLD,26.862,0.027668364,,,,,NLD,Total fisheries production (metric tons),ER.FSH.PROD.MT,432284.0,551818.0,465199.0,366791.8,347466.11,340231.0,338052.0,,,
Norway,NOR,0.833,0.0,,,,,NOR,Total fisheries production (metric tons),ER.FSH.PROD.MT,3527509.72,3867391.27,4020185.1,3931628.23,4115779.83,4244846.27,4262103.08,,,
New Zealand,NZL,30.423,0.006942615,,,,,NZL,Total fisheries production (metric tons),ER.FSH.PROD.MT,533957.16,547673.14,512559.8,527209.86,483546.03,460346.1,452469.57,,,
Oman,OMN,0.123,0.000102097,,,,,OMN,Total fisheries production (metric tons),ER.FSH.PROD.MT,279691.0,347616.25,555009.45,580240.0,794725.95,923786.32,751823.49,,,
Pakistan,PAK,0.767,0.089130928,,,,,PAK,Total fisheries production (metric tons),ER.FSH.PROD.MT,672786.02,694394.99,663893.01,649247.0,655245.0,660585.99,665520.24,,,
Panama,PAN,1.681,0.534683468,,,,,PAN,Total fisheries production (metric tons),ER.FSH.PROD.MT,188056.97,187040.1,206371.48,267500.71,222368.65,229440.26,198492.19,,,
Peru,PER,0.482,0.026443196,,,,,PER,Total fisheries production (metric tons),ER.FSH.PROD.MT,3928938.15,4285651.36,7349861.86,5014100.01,5820795.2,6726988.61,5509031.32,,,
Philippines,PHL,1.159,36.38451062,,,,,PHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,4227937.75,4126941.23,4126424.45,4189087.04,4237749.79,4088382.66,4120499.26,,,
Palau,PLW,100.0,0.000714681,,,,,PLW,Total fisheries production (metric tons),ER.FSH.PROD.MT,841.8,3463.7,3906.42,3949.95,791.0,835.2,823.07,,,
Papua New Guinea,PNG,0.139,0.312315587,,,,,PNG,Total fisheries production (metric tons),ER.FSH.PROD.MT,325985.47,331294.57,336045.92,289580.58,220130.47,191017.47,240192.06,,,
Poland,POL,22.572,0.002960821,,,,,POL,Total fisheries production (metric tons),ER.FSH.PROD.MT,256408.0,265195.77,266065.34,256162.0,254090.3,246171.5,224632.94,,,
