Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
9/01/2004,Cairns,Ship,Fishing,Port,"Firewood Creek, Cairns",Sheen,Unknown
11/01/2004,Brisbane,Unknown,Unknown,Coastal,"Newport Waterways, Scarborough",Sheen,Unknown
12/01/2004,Mackay,Ship,Commercial,Coastal,"Able Point Marina, Whitsunday",Bilge,Unknown
12/01/2004,Townsville,Ship,Trading,Coastal,"Queens Beach, Bowen",Bilge,Unknown
13/01/2004,Mackay,Ship,Trading,Coastal,"Hook Island, Whitsundays",Bilge,Unknown
15/01/2004,Mackay,Ship,Commercial,Coastal,"Able Point Marina, Whitsunday",Bilge,Unknown
16/01/2004,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Brisbane River",Sheen,Unknown
21/01/2004,Cairns,Ship,Trading,Port,"Tropical Reef Slipway, Trinity Inlet, Cairns",Diesel,Unknown
4/02/2004,Brisbane,Unknown,Unknown,Coastal,"Minyama Canals, Sunshine Coast",Diesel,Unknown
8/02/2004,Brisbane,Ship,Recreational,Port,"Newport Waterways, Scarborough",Bilge,Unknown
12/02/2004,Cairns,Ship,Trading,Coastal,Western entrance to Torres Strait,Bilge,Unknown
13/02/2004,Mackay,Unknown,Unknown,Port,"Mackay Marina, Mackay",Bilge,Unknown
14/02/2004,Brisbane,Ship,Commercial,Port,"Fishermans Islands, No 3, Moreton Bay",Diesel,Unknown
25/02/2004,Brisbane,Ship,Fishing,Port,"Bar Cutting, Moreton Bay",Sheen,Unknown
27/02/2004,Cairns,Unknown,Unknown,Port,"Wharf 6, Trinity Inlet, Cairns",Sheen,Unknown
2/04/2004,Brisbane,Aircraft,Helicopter,Port,"Kedron Brook Floodway, Brisbane",Avgas,Unknown
3/04/2004,Brisbane,Ship,Fishing,Coastal,"Newport Waterways, Scarborough",Diesel,Unknown
5/04/2004,Brisbane,Ship,Trading,Port,"Caltex, Fishermans Islands Berth",Sheen,Unknown
11/04/2004,Cairns,Ship,Recreational,Port,Thursday Island,Diesel,Unknown
12/04/2004,Brisbane,Ship,Recreational,Coastal,"Newport Waterways, Scarborough",Paint Dust,Unknown
15/04/2004,Brisbane,Unknown,Unknown,Coastal,"Barralong Canal, Buddina",Chemical,Unknown
18/04/2004,Cairns,Ship,Unknown,Port,"Main Wharf, Thursday Island",Sheen,Unknown
5/05/2004,Cairns,Land,Defence,Port,"Trinity Inlet, Cairns",Diesel,Unknown
16/05/2004,Mackay,Ship,Unknown,Coastal,"Blue Pearl Bay, Hayman Island, Whitsundays",Diesel,Unknown
19/05/2004,Brisbane,Ship,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
19/05/2004,Cairns,Ship,Fishing,Port,Thursday Island,Diesel,Unknown
21/05/2004,Brisbane,Ship,Recreational,Port,"Manly Marine, Brisbane",Diesel,Unknown
22/05/2004,Brisbane,Ship,Unknown,Port,"Lytton Reach, Brisbane River",Sheen,Unknown
22/05/2004,Cairns,Land,Unknown,Port,"Trinity Inlet, Cairns",Sheen,Unknown
24/05/2004,Brisbane,Ship,Fishing,Port,Gladstone Marina,Diesel,Unknown
24/05/2004,Gladstone,Ship,Fishing,Port,Gladstone Marina,Bilge,Unknown
25/05/2004,Brisbane,Ship,Unknown,Coastal,"Shaftston Reach, Brisbane River",Bilge,Unknown
27/05/2004,Cairns,Ship,Commercial,Port,Thursday Island,Bilge,Unknown
4/06/2004,Cairns,Unknown,Unknown,Port,"Trinity Inlet, Cairns",Diesel,Unknown
7/06/2004,Cairns,Unknown,Unknown,Port,"Trinity Inlet, Cairns",Diesel,Unknown
10/06/2004,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
10/06/2004,Cairns,Ship,Unknown,Port,Thursday Island,Bilge,Unknown
14/06/2004,Brisbane,Land,N/A,Port,"Caltex, Fishermans Islands Berth",Fuel Oil,Unknown
2/07/2004,Brisbane,Ship,Commercial,Coastal Waters,"Brisbane River, Eagle St Pier",Sheen,Unknown
27/07/2004,Cairns,Ship,Commercial,Port,"Between D Finger CFB 1 & TR slipway, Trinity Inlet/ Smiths Creek",Bilge,20
29/07/2004,Cairns,Unknown,Unknown,Port,From Sinrab Point to Wharf 7,Sheen,50
29/07/2004,Mackay,Unknown,Unknown,GBRMP,"Tongue Bay, Whitsunday Island",Unknown,Unknown
30/07/2004,Brisbane,Helicopter,n/a,Coastal Waters,"Helicopter Pontoon, South Bank Reach",Avgas,Unknown
30/07/2004,Cairns,Ship,Fishing,Port,D Finger Commercial Fishermans Base #1,Bilge,5
8/08/2004,Cairns,Ship,Trading,GBRMP,Fairway Channel near Pipin Reef,Sheen,Unknown
9/08/2004,Cairns,Ship,Unknown,Port,E. Finger Marlin Marina,Diesel,15
16/08/2004,Cairns,Land,Fishing,Port,"Main Wharf, Thursday Island",Sheen,6
16/08/2004,Mackay,Ship,Trading,GBRMP,5 nm NE High Peak Island,Bilge,Unknown
17/08/2004,Gladstone,Unknown,Unknown,GBRMP,Great Keppel Island,Bilge,Unknown
24/08/2004,Cairns,Ship,Commercial,Port,Thursday Island Harbour,Sheen,Unknown
24/08/2004,Cairns,Ship,Defence,Port,HMAS Cairns base form HMAS Ipswich,Diesel,2
2/09/2004,Brisbane,Land,n/a,Coastal Waters,Storm water drain between North Key and William Jolly Bridge,Other,Unknown
7/09/2004,Brisbane,Ship,Commercial,Port,"Raptis Wharf, Brisbane River",Other,40
9/09/2004,Cairns,Unknown,Unknown,Port,Between #10 South Dolphin and naval base,Sheen,5
18/09/2004,Brisbane,Ship,Recreational,Port,"112 Quay St, Bulimba, Brisbane River",Diesel,5
28/09/2004,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolah River, Mooloolaba",Diesel,Unknown
28/09/2004,Cairns,Ship,Recreational,Port,Sail Fish Quay Marlin Marina,Bilge,60
29/09/2004,Townsville,Ship,Unknown,Coastal Waters,"Rowes Bay, Bowen",HFO,Unknown
3/10/2004,Mackay,Ship,Recreational,GBRMP,1 km East of Whitsunday Isl Craig,Sheen,Unknown
4/10/2004,Brisbane,Ship,Fishing,Port,Outside area of Scarborough Harbour,Bilge,Unknown
6/10/2004,Cairns,Ship,Commercial,Port,"Between D Finger CFB 1 and Tropical Reef slipway, Trinity Inlet/ Smiths Creek",Bilge,40
7/10/2004,Brisbane,Unknown,Unknown,Port,Whyte Island Tug Base,Unknown,Unknown
10/10/2004,Brisbane,Land,n/a,Coastal Waters,"Golden Beach, Pumicestone Passage",Diesel,Unknown
12/10/2004,Brisbane,Land,n/a,Port,Fisherman Is #3 berth,Diesel,100
18/10/2004,Brisbane,Land,n/a,Coastal Waters,"Diet Park ferry terminal, St Lucia",Other,Unknown
18/10/2004,Brisbane,Unknown,Unknown,Port,"Brisbane River, mouth of Dobey Creek",Diesel,Unknown
19/10/2004,At Sea,Ship,Trading,Territorial Sea,"31 miles to sea, ESE from Pt Lookout, bearing 115",Other,Unknown
21/10/2004,Mackay,Ship,Commercial,GBRMP,"Centenary Cay, Swains Reef",Diesel,Unknown
22/10/2004,Brisbane,Ship,Trading,Port,Fishermans Islands Berth 7,Bilge,500
24/10/2004,Mackay,Ship,Unknown,Port,Mackay Marina,Diesel,Unknown
27/10/2004,Brisbane,Unknown,Unknown,Coastal Waters,Scarborough Harbour,Bilge,Unknown
31/10/2004,Brisbane,Ship,Trading,Port,"Brisbane River, Pikenba no 2 berth",Other,Unknown
31/10/2004,Brisbane,Unknown,Unknown,Port,"Moreton Bay, Woody Point, adj Woodcliffe Cres",Other,Unknown
