Data Source,World Development Indicators,,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,,
,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023
OECD members,OED,Total fisheries production (metric tons),ER.FSH.PROD.MT,31265383.9,33586483.93,33620084.6,33114134.32,32114694.47,32412338.62,28059126.06,
Oman,OMN,Total fisheries production (metric tons),ER.FSH.PROD.MT,279691,347616.25,555009.45,580240,794725.95,923786.32,751823.49,
Other small states,OSS,Total fisheries production (metric tons),ER.FSH.PROD.MT,2080659.09,2217177.29,2312977.95,2094299.08,1914023.87,2142923.35,2414384.15,
Pakistan,PAK,Total fisheries production (metric tons),ER.FSH.PROD.MT,672786.02,694394.99,663893.01,649247,655245,660585.99,665520.24,
Panama,PAN,Total fisheries production (metric tons),ER.FSH.PROD.MT,188056.97,187040.1,206371.48,267500.71,222368.65,229440.26,198492.19,
Peru,PER,Total fisheries production (metric tons),ER.FSH.PROD.MT,3928938.15,4285651.36,7349861.86,5014100.01,5820795.2,6726988.61,5509031.32,
Philippines,PHL,Total fisheries production (metric tons),ER.FSH.PROD.MT,4227937.75,4126941.23,4126424.45,4189087.04,4237749.79,4088382.66,4120499.26,
Palau,PLW,Total fisheries production (metric tons),ER.FSH.PROD.MT,841.8,3463.7,3906.42,3949.95,791,835.2,823.07,
Papua New Guinea,PNG,Total fisheries production (metric tons),ER.FSH.PROD.MT,325985.47,331294.57,336045.92,289580.58,220130.47,191017.47,240192.06,
Poland,POL,Total fisheries production (metric tons),ER.FSH.PROD.MT,256408,265195.77,266065.34,256162,254090.3,246171.5,224632.94,
Pre-demographic dividend,PRE,Total fisheries production (metric tons),ER.FSH.PROD.MT,5252116.86,5870821.54,5725303.91,5917497.02,5660965.78,6123921.92,5759628.39,
Puerto Rico,PRI,Total fisheries production (metric tons),ER.FSH.PROD.MT,1867.46,1571.66,1656.93,1531.3,1590.69,1591,1592.29,
"Korea, Dem. People's Rep.",PRK,Total fisheries production (metric tons),ER.FSH.PROD.MT,828750,833760,886760,884760,882300,888630,,
Portugal,PRT,Total fisheries production (metric tons),ER.FSH.PROD.MT,196332.25,195123.72,192261.18,198739.85,180530.97,199045.26,180858.56,
