Data Source,World Development Indicators,,,,,,,,,
Last Updated Date,6/28/2024,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021,2022,2023
Ghana,GHA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0974062095921647,0.0974062095921647,0.097406,0.096692,0.09669181,0.0966918,
Gibraltar,GIB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,12.8217275107356,12.8217275107356,12.82936,0,0,0,
Guinea,GIN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.529571455146597,0.529571455146597,0.52957,0.52957,0.52972877,0.5297288,
"Gambia, The",GMB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0696771265532355,0.0696771265532355,0.069679,0.60384,0.603840232,0.6038402,
Guinea-Bissau,GNB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,10.0094124457438,10.0094124457438,10.00945,8.988976,8.988976479,8.9889765,
Equatorial Guinea,GNQ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.235115094159034,0.235115094159034,0.235115,0.235115,0.235114738,0.2351147,
Greece,GRC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.51786536462105,4.51786536462105,4.517861,4.517863,4.51787138,4.5178628,
Grenada,GRD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0862502716404704,0.0862502716404704,0.086252,0.098036,0.098035686,0.0980357,
Greenland,GRL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.51873918534929,4.51873918534929,4.51875,4.515592,4.513874531,4.5155921,
Guatemala,GTM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.900143643771587,0.900143643771587,0.900141,0.805985,0.805985153,0.8059852,
Guam,GUM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.00906741557270616,0.00906741557270616,0.009067,0.018284,0.0197942,0.0197942,
Guyana,GUY,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.0127123723136723,0.0127123723136723,0.018885,0.018885,0.018885171,0.0188852,
High income,HIC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,23.0599965256,23.0177631887777,23.9850097931111,24.735086332204,19.2806650194181,,
"Hong Kong SAR, China",HKG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,0,0,,,
Honduras,HND,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.15706760137244,4.15706760137244,4.157064,4.577913,4.577913284,4.5779133,
Heavily indebted poor countries (HIPC),HPC,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Croatia,HRV,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,8.54108490852191,8.54108490852191,8.541029,8.99141,8.987750053,8.9877367,
Haiti,HTI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,1.463562,1.463562,1.474483371,1.4744834,
Hungary,HUN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
IBRD only,IBD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,7.2207037157921,7.22071056502551,7.73264392904139,9.75629564234299,9.679258926699,,
IDA & IBRD total,IBT,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,6.49822599280031,6.49823632166681,6.95003807645697,8.54533307620839,8.48524293080902,,
IDA total,IDA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
IDA blend,IDB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.08782596706782,1.08782596706782,2.13892622268143,2.03833125213894,2.03833125311487,,
Indonesia,IDN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,3.05732314978845,3.05732314978845,3.057332,3.0576,3.057600498,3.0576005,
IDA only,IDX,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Isle of Man,IMN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,0,0,,,
India,IND,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.17070584961861,0.17070584961861,0.170706,0.170706,0.240883142,0.2408831,
Not classified,INX,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,
Ireland,IRL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.33211062388034,2.33211062388034,2.332142,2.331836,2.331835985,2.3319521,
"Iran, Islamic Rep.",IRN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.804553421456393,0.804553421456393,0.804555,0.804555,0.80455476,0.8045548,
Iraq,IRQ,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,
